epoch,train loss,train acc,val loss,val acc
1,0.5211777289708456,0.8913209703233507,0.12796826660633087,0.9155534004121711
2,0.38242750366528827,0.8777355617947049,0.08414249494671822,0.9174642380894654
5,0.29374755587842727,0.8808008829752604,0.06485282815992832,0.9159246575342466
10,0.23435771465301514,0.9173092312282987,0.0414093304425478,0.9432112983391926
15,0.22468012074629465,0.9220403035481771,0.033559019677340984,0.9559416292883987
20,0.21342590782377455,0.9252183702256944,0.03493520803749561,0.9505894653897442
25,0.1990811891025967,0.9292568630642362,0.03118110168725252,0.9584040489756334
30,0.19252597126695845,0.9314982096354166,0.028935981914401054,0.9625136380167293
35,0.18476852609051597,0.9345067342122396,0.028073920868337154,0.9635925566735362
40,0.1880479703346888,0.9332911173502604,0.027900980785489082,0.9635258819250818
45,0.1972060269779629,0.9308115641276041,0.027880153618752956,0.9638774396896593
50,0.1799777133597268,0.936202155219184,0.02783018723130226,0.9638835010304279
55,0.2043749127123091,0.9280488755967882,0.028616927564144135,0.9637789429021699
60,0.18291986816459233,0.9362928602430556,0.029647964984178543,0.9613407685780095
65,0.18502085573143429,0.9345974392361112,0.02815284952521324,0.9613862286337738
70,0.17722373621331322,0.9368981255425347,0.02699472103267908,0.9627970056976602
75,0.16856078637970817,0.939040289984809,0.02837880700826645,0.961042247545157
80,0.16924424635039437,0.9387698703342013,0.025815362110733986,0.9643608316159534
85,0.1633068091339535,0.9420157538519965,0.02447464782744646,0.9661261971148019
90,0.18064575062857735,0.9366158379448785,0.02558074425905943,0.9645169111407443
95,0.15969664851824442,0.9432491726345487,0.024197637103497982,0.9666717177839739
100,0.19158917003207737,0.9335835774739584,0.023433737456798553,0.9666171657170566
105,0.16751268174913195,0.9408247205946181,0.024850131012499332,0.9653154927870045
110,0.17272583312458462,0.938767327202691,0.025736880488693714,0.9637183294944842
115,0.16976327697436014,0.9413358900282118,0.02386512141674757,0.9664398714995757
120,0.1649252391523785,0.9424192640516493,0.02439836971461773,0.9658019153836829
125,0.16455901165803274,0.9418835110134549,0.02351053711026907,0.9666444417505151
130,0.16306733422809178,0.9425667656792535,0.023831771686673164,0.9665929203539823
135,0.15059037754933038,0.9453175862630209,0.02378790732473135,0.9668141592920354
140,0.18356436159875658,0.9355341593424479,0.024394727312028408,0.9660155776457753
145,0.16332720468441644,0.9414248996310763,0.023989933542907238,0.966611104376288
150,0.16385981606112587,0.9410739474826388,0.023928518407046795,0.966652018426476
155,0.17651825646559396,0.9377729627821181,0.02449905965477228,0.9654124742393018
160,0.15109308477905062,0.9457821316189237,0.025175102055072784,0.9655215783731361
165,0.15790059169133505,0.9433076646592882,0.023829723708331585,0.966033761668081
170,0.16289146741231283,0.9420971340603299,0.025152800604701042,0.9652018426475937
175,0.17984267738130358,0.9363538953993056,0.022725801914930344,0.9673324039277488
180,0.16211868657006157,0.942977057562934,0.0247204452753067,0.964565401866893
185,0.15909073750178018,0.9414037068684896,0.02468760497868061,0.9649881803855013
190,0.16130755179458195,0.9430669148763021,0.023708338849246502,0.9667959752697297
195,0.16601867808236015,0.9406043158637153,0.025371156632900238,0.9647533034307189
200,0.16490739087263742,0.9426956176757812,0.02300697471946478,0.9674869681173475
